student_id,pathway,domain,technologies_used,outcome
1,Standard,Software Engineering,"Java, Spring, React, SQL",Prototype
2,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",University Showcase
3,Data Science,Data Mining and Warehousing,"Python, Pandas, Scikit-Learn, R",Prototype
4,Scientific Computing,Scientific Computing,"MATLAB, Python",Published Paper
5,Data Science,Data Mining and Warehousing,"Python, Pandas, Scikit-Learn, R",Industry Collaboration
6,Standard,Software Engineering,"Java, Spring, React, SQL",Industry Collaboration
7,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Prototype
8,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",University Showcase
9,Scientific Computing,Scientific Computing,"MATLAB, Python",Prototype
10,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",University Showcase
11,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Published Paper
12,Scientific Computing,Scientific Computing,"MATLAB, Python",Industry Collaboration
13,Scientific Computing,Scientific Computing,"MATLAB, Python",Published Paper
14,Standard,Software Engineering,"Java, Spring, React, SQL",Industry Collaboration
15,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Published Paper
16,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Prototype
17,Standard,Software Engineering,"Java, Spring, React, SQL",Published Paper
18,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",Published Paper
19,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",Prototype
20,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",Industry Collaboration
21,Standard,Software Engineering,"Java, Spring, React, SQL",Industry Collaboration
22,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Prototype
23,Standard,Software Engineering,"Java, Spring, React, SQL",Published Paper
24,Standard,Software Engineering,"Java, Spring, React, SQL",Published Paper
25,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",Published Paper
26,Data Science,Data Mining and Warehousing,"Python, Pandas, Scikit-Learn, R",University Showcase
27,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Industry Collaboration
28,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",Published Paper
29,Data Science,Data Mining and Warehousing,"Python, Pandas, Scikit-Learn, R",Industry Collaboration
30,Data Science,Data Mining and Warehousing,"Python, Pandas, Scikit-Learn, R",Published Paper
31,Scientific Computing,Scientific Computing,"MATLAB, Python",Prototype
32,Cyber Security,Network and Information Security,"Python, Wireshark, Kali Linux",Prototype
33,Data Science,Data Mining and Warehousing,"Python, Pandas, Scikit-Learn, R",Industry Collaboration
34,Artificial Intelligence,Machine Learning,"Python, TensorFlow, PyTorch",Industry Collaboration
35,Scientific Computing,Scientific Computing,"MATLAB, Python",Prototype
