student_id,semester_number,term_year,course_code,credits,grade_points
1,1,Fall 2020,CSCI 11014,3,2.0
1,1,Fall 2020,CSCI 11023,3,3.7
1,1,Fall 2020,CSCI 11032,3,2.0
1,1,Fall 2020,CSCI 11042,3,2.0
1,1,Fall 2020,CSCI 11052,3,3.0
1,1,Fall 2020,CSCI 11062,3,2.7
1,1,Fall 2020,DELT 13302,3,3.0
1,1,Fall 2020,CSCI 11072,3,2.0
1,2,Spring 2021,CSCI 12013,3,3.0
1,2,Spring 2021,CSCI 12022,3,2.3
1,2,Spring 2021,CSCI 12033,3,3.3
1,2,Spring 2021,CSCI 12042,3,2.0
1,2,Spring 2021,CSCI 12052,3,2.0
1,2,Spring 2021,CSCI 12063,3,2.0
1,3,Fall 2021,CSCI 21013,3,2.7
1,3,Fall 2021,CSCI 21023,3,2.0
1,3,Fall 2021,CSCI 21033,3,2.0
1,3,Fall 2021,CSCI 21042,3,2.0
1,3,Fall 2021,CSCI 21052,3,3.0
1,3,Fall 2021,CSCI 21062,3,2.0
1,3,Fall 2021,CSCI 23072,3,2.3
1,3,Fall 2021,DELT 21212,3,2.0
1,3,Fall 2021,MGMT 21012,3,2.3
1,4,Spring 2022,CSCI 22012,3,3.7
1,4,Spring 2022,CSCI 22022,3,2.7
1,4,Spring 2022,CSCI 22032,3,2.3
1,4,Spring 2022,CSCI 22042,3,3.0
1,4,Spring 2022,CSCI 22052,3,2.0
1,4,Spring 2022,CSCI 22062,3,3.0
1,4,Spring 2022,CSCI 22082,3,2.7
1,4,Spring 2022,MGMT 22012,3,2.0
1,4,Spring 2022,CSCI 22072,2,3.0
1,5,Fall 2022,CSCI 31014,3,2.0
1,5,Fall 2022,DELT 33212,3,2.3
1,5,Fall 2022,MGMT 31012,3,2.0
1,5,Fall 2022,CSCI 31082,3,2.3
1,5,Fall 2022,CSEC 31012,3,2.3
1,5,Fall 2022,CSEC 31022,3,3.0
1,5,Fall 2022,CSCI 31072,3,2.3
1,5,Fall 2022,CSCI 31022,2,2.7
1,6,Spring 2023,CSCI 32012,3,2.3
1,6,Spring 2023,CSCI 32022,3,3.0
1,6,Spring 2023,CSCI 32032,3,3.3
1,6,Spring 2023,CSCI 32042,3,2.7
1,6,Spring 2023,DELT 33212,3,3.0
1,6,Spring 2023,MGMT 31012,3,3.3
1,6,Spring 2023,CSEC 32012,3,2.0
1,6,Spring 2023,CSEC 32022,3,2.0
1,6,Spring 2023,CSEC 32032,3,2.7
1,6,Spring 2023,CSCI 32083,3,2.3
1,6,Spring 2023,CSCI 32092,3,2.7
1,7,Fall 2023,CSCI 43018,3,2.7
1,7,Fall 2023,CSCI 44026,3,2.0
1,7,Fall 2023,CSEC 44012,3,2.0
1,7,Fall 2023,CSEC 44022,3,3.0
1,7,Fall 2023,CSEC 44032,3,2.3
1,7,Fall 2023,CSEC 44042,3,2.0
1,7,Fall 2023,CSEC 44062,3,2.0
1,7,Fall 2023,CSEC 44072,3,2.0
1,7,Fall 2023,DSCI 44022,3,2.0
1,7,Fall 2023,DSCI 44033,3,2.0
1,7,Fall 2023,DSCI 44052,3,2.0
1,7,Fall 2023,AINT 44042,3,2.3
1,7,Fall 2023,SCOM 44022,3,2.7
1,7,Fall 2023,CSCI 44052,3,2.3
1,7,Fall 2023,CSCI 44103,2,2.7
1,8,Spring 2024,CSCI 43018,3,2.3
1,8,Spring 2024,CSCI 44026,3,2.0
1,8,Spring 2024,CSEC 44012,3,2.3
1,8,Spring 2024,CSEC 44022,3,2.3
1,8,Spring 2024,CSEC 44032,3,2.0
1,8,Spring 2024,CSEC 44042,3,2.7
1,8,Spring 2024,CSEC 44062,3,2.3
1,8,Spring 2024,CSEC 44072,3,2.7
1,8,Spring 2024,DSCI 44022,3,2.7
1,8,Spring 2024,DSCI 44033,3,2.7
1,8,Spring 2024,DSCI 44052,3,2.3
1,8,Spring 2024,AINT 44042,3,2.7
1,8,Spring 2024,SCOM 44022,3,2.0
1,8,Spring 2024,CSCI 44082,3,3.0
1,8,Spring 2024,CSCI 44052,2,2.3
2,1,Fall 2020,CSCI 11014,3,2.0
2,1,Fall 2020,CSCI 11023,3,2.0
